date,usage_mgd
9/12/2018,118.75
9/13/2018,117.35
9/14/2018,115.65
9/15/2018,120.99
9/16/2018,125
9/17/2018,128.02
9/18/2018,128.02
9/19/2018,127.03
9/20/2018,121.3
9/21/2018,118.43
9/22/2018,115.76
9/23/2018,120.66
9/24/2018,128.56
9/25/2018,129.04
9/26/2018,128.85
9/27/2018,123.2
9/28/2018,121.09
9/29/2018,117.03
9/30/2018,116.85
10/1/2018,116.85
10/2/2018,120.06
10/3/2018,119.47
10/4/2018,120.54
10/5/2018,120.43
10/6/2018,121.77
10/7/2018,122.15
10/8/2018,146.22
10/9/2018,97.75
10/10/2018,124.23
10/11/2018,120.52
10/12/2018,119.55
10/13/2018,120.66
10/14/2018,120.66
10/15/2018,118.33
10/16/2018,118.79
10/17/2018,139.62
10/18/2018,122.02
10/19/2018,85.83
10/20/2018,137.04
10/21/2018,97.89
10/22/2018,117.4
10/23/2018,96.82
10/24/2018,118.38
10/25/2018,119.38
10/26/2018,120.52
10/27/2018,120.52
10/28/2018,119.42
10/29/2018,119.67
10/30/2018,116.32
10/31/2018,120.9
11/1/2018,123.35
11/2/2018,120.62
11/3/2018,122.47
11/4/2018,118.76
11/5/2018,116.52
11/6/2018,117.54
11/7/2018,115.72
11/8/2018,117.24
11/9/2018,117.24
11/10/2018,115.44
11/11/2018,117.35
11/12/2018,117.65
11/13/2018,115.64
11/14/2018,117.57
11/15/2018,118.09
11/16/2018,116.47
11/17/2018,116.7
11/18/2018,117.9
11/19/2018,117.09
11/20/2018,116.15
11/21/2018,118.3
11/22/2018,118.3
11/23/2018,115.46
11/24/2018,116.98
11/25/2018,115.44
11/26/2018,113.39
11/27/2018,116.68
11/28/2018,121.68
11/29/2018,115.94
11/30/2018,126.16
12/1/2018,105.68
12/2/2018,116.02
12/3/2018,115.3
12/4/2018,115.68
12/5/2018,115.68
12/6/2018,117.54
12/7/2018,116.57
12/8/2018,118
12/9/2018,74.72
12/10/2018,157.34
12/11/2018,126.33
12/12/2018,107.42
12/13/2018,119.6
12/14/2018,117.39
12/15/2018,116.28
12/16/2018,116.78
12/17/2018,119.49
12/18/2018,119.49
12/19/2018,125.24
12/20/2018,111.55
12/21/2018,113.96
12/22/2018,115.17
12/23/2018,116.13
12/24/2018,116.24
12/25/2018,120.34
12/26/2018,113.43
12/27/2018,114.26
12/28/2018,95.02
12/29/2018,115.04
12/30/2018,116.92
12/31/2018,116.92
1/1/2019,117.3
1/2/2019,118.14
1/3/2019,116
1/4/2019,116.51
1/5/2019,118.89
1/6/2019,119.59
1/7/2019,118.23
1/8/2019,117.45
1/9/2019,117.22
1/10/2019,116.05
1/11/2019,115.59
1/12/2019,116.71
1/13/2019,116.71
1/14/2019,116.99
1/15/2019,117.37
1/16/2019,116.62
1/17/2019,116.38
1/18/2019,114.88
1/19/2019,113.31
1/20/2019,113.67
1/21/2019,113.64
1/22/2019,116.25
1/23/2019,109.49
1/24/2019,108.81
1/25/2019,113.12
1/26/2019,113.12
1/27/2019,110.96
1/28/2019,112.31
1/29/2019,110.96
1/30/2019,118.94
1/31/2019,110.01
2/1/2019,112.66
2/2/2019,114.45
2/3/2019,113.25
2/4/2019,113.05
2/5/2019,115.14
2/6/2019,114.72
2/7/2019,112.87
2/8/2019,112.87
2/9/2019,113.19
2/10/2019,115.46
2/11/2019,115.28
2/12/2019,116.84
2/13/2019,117.38
2/14/2019,116.34
2/15/2019,113.94
2/16/2019,114.63
2/17/2019,114.27
2/18/2019,113.32
2/19/2019,114.24
2/20/2019,113.25
2/21/2019,113.25
2/22/2019,120.09
2/23/2019,119.43
2/24/2019,121.16
2/25/2019,114.57
2/26/2019,110.49
2/27/2019,114.51
2/28/2019,114.63
3/1/2019,121.52
3/2/2019,106.36
3/3/2019,113.35
3/4/2019,117.19
3/5/2019,112.43
3/6/2019,112.43
3/7/2019,117.41
3/8/2019,118.46
3/9/2019,114.07
3/10/2019,112.68
3/11/2019,112.75
3/12/2019,112.61
3/13/2019,112.88
3/14/2019,115.13
3/15/2019,116.29
3/16/2019,113.93
3/17/2019,114.61
3/18/2019,112.74
3/19/2019,112.74
3/20/2019,110.78
3/21/2019,109.63
3/22/2019,110.12
3/23/2019,107.71
3/24/2019,110.12
3/25/2019,111.65
3/26/2019,112.64
3/27/2019,113.91
3/28/2019,108.9
3/29/2019,111.49
3/30/2019,111.57
3/31/2019,112.43
4/1/2019,112.43
4/2/2019,113.24
4/3/2019,113.07
4/4/2019,112.17
4/5/2019,111.63
4/6/2019,112.03
4/7/2019,114.16
4/8/2019,112
4/9/2019,114.37
4/10/2019,113.58
4/11/2019,117.9
4/12/2019,112.77
4/13/2019,113.78
4/14/2019,113.78
4/15/2019,108.35
4/16/2019,114.66
4/17/2019,112.74
4/18/2019,113.81
4/19/2019,111.66
4/20/2019,112.11
4/21/2019,111.22
4/22/2019,111.97
4/23/2019,112.49
4/24/2019,110.63
4/25/2019,114.49
4/26/2019,109.18
4/27/2019,109.18
4/28/2019,103.33
4/29/2019,109.92
4/30/2019,110.87
5/1/2019,107.3
5/2/2019,108.86
5/3/2019,108.8
5/4/2019,108.81
5/5/2019,107.78
5/6/2019,109.77
5/7/2019,108.98
5/8/2019,108.96
5/9/2019,108.11
5/10/2019,108.11
5/11/2019,107.21
5/12/2019,109.04
5/13/2019,107.96
5/14/2019,109.86
5/15/2019,108.32
5/16/2019,107.49
5/17/2019,107.17
5/18/2019,107.6
5/19/2019,107.11
5/20/2019,107.37
5/21/2019,108.39
5/22/2019,108.98
5/23/2019,108.98
5/24/2019,107.42
5/25/2019,110.09
5/26/2019,108.13
5/27/2019,107.67
5/28/2019,109.75
5/29/2019,105.19
5/30/2019,104.99
5/31/2019,105.08
6/1/2019,106.3
6/2/2019,105.74
6/3/2019,105.87
6/4/2019,104.92
6/5/2019,104.92
6/6/2019,105.69
6/7/2019,105.24
6/8/2019,107.2
6/9/2019,105.26
6/10/2019,106.04
6/11/2019,106.41
6/12/2019,106.22
6/13/2019,107.95
6/14/2019,107.17
6/15/2019,108.71
6/16/2019,107.45
6/17/2019,108.17
6/18/2019,108.17
6/19/2019,107.18
6/20/2019,107
6/21/2019,107.92
6/22/2019,104.03
6/23/2019,106.88
6/24/2019,108.23
6/25/2019,108.2
6/26/2019,107.7
6/27/2019,108.85
6/28/2019,108.77
6/29/2019,107.85
6/30/2019,111.62
7/1/2019,111.62
7/2/2019,109.45
7/3/2019,108.55
